MainMenu_DifficultySelection_1:: "请等房主选择COTF困难"
ItemDataBase_ItemDefinitions_349:: "华丽羽毛"
ItemDataBase_ItemDefinitions_350:: "奇妙羽毛"
ItemDataBase_ItemDefinitions_351:: "白乌鸦羽毛"
ItemDataBase_ItemDefinitions_352:: "礁石鲨"
ItemDataBase_ItemDefinitions_353:: "虎鲨齿"
ItemDataBase_ItemDefinitions_354:: "鲸鲨齿"
ItemDataBase_ItemDefinitions_355:: "大白鲨尖牙"
ItemDataBase_ItemDefinitions_356:: "巨齿鲨尖牙"
ItemDataBase_ItemDefinitions_357:: "未切割的蓝宝石"
ItemDataBase_ItemDefinitions_358:: "透明蓝宝石"
ItemDataBase_ItemDefinitions_359:: "闪耀蓝宝石"
ItemDataBase_ItemDefinitions_360:: "魔法蓝宝石"
ItemDataBase_ItemDefinitions_361:: "天体蓝宝石"
ItemDataBase_ItemDefinitions_362:: "未切割的月亮石"
ItemDataBase_ItemDefinitions_363:: "透明月光石"
ItemDataBase_ItemDefinitions_364:: "闪耀月光石"
ItemDataBase_ItemDefinitions_365:: "魔法月光石"
ItemDataBase_ItemDefinitions_366:: "天体月光石"
ItemDataBase_ItemDefinitions_367:: "铅矿"
ItemDataBase_ItemDefinitions_368:: "钒矿"
ItemDataBase_ItemDefinitions_369:: "钛矿"
ItemDataBase_ItemDefinitions_370:: "铬矿"
ItemDataBase_ItemDefinitions_371:: "钨矿"
ItemDataBase_ItemDefinitions_372:: "棍子上的刀"
ItemDataBase_ItemDefinitions_373:: "Kasper把这个项目命名为“他的错”"
ItemDataBase_ItemDefinitions_374:: "指甲拳"
ItemDataBase_ItemDefinitions_375:: "瑞士羊皮制造商"
ItemDataBase_ItemDefinitions_376:: "每个点生命获得{0}点荆棘伤害"
ItemDataBase_ItemDefinitions_377:: "货运短裤MK2"
ItemDataBase_ItemDefinitions_378:: "最深的口袋"
ItemDataBase_ItemDefinitions_379:: "改进的工装裤。口袋的数量是原来的两倍，因外部已无位置，所以一些口袋在里面。他们仍然很丑"
ItemDataBase_ItemDefinitions_380:: "Aezyn"
ItemDataBase_ItemDefinitions_381:: "被强力挥杆般的魔法迷住了。这是目的吗？用力击球。"
ItemDataBase_ItemDefinitions_382:: "魔法箭伤害比例增加{0}。"
ItemDataBase_ItemDefinitions_383:: "潘尼的反光戒指"
ItemDataBase_ItemDefinitions_384:: "魔法箭是以成排的方式射出。这个效果可以叠加。"
ItemDataBase_ItemDefinitions_385:: "眼罩"
ItemDataBase_ItemDefinitions_386:: "一位智者曾经说过："
ItemDataBase_ItemDefinitions_387:: "每个人都认为我只是一个独眼怪物，该死的……（抽泣）"
ItemDataBase_ItemDefinitions_388:: "进行跳跃攻击时也会产生爆炸伤害"
ItemDataBase_ItemDefinitions_389:: "标枪"
ItemDataBase_ItemDefinitions_390:: "战甲"
ItemDataBase_ItemDefinitions_391:: "被神的盔甲的力量所迷惑。它的目的是什么？用力打，爸爸。"
ItemDataBase_ItemDefinitions_392:: "力量来自于意志力，意志力越强，你就越强大。"
ItemDataBase_ItemDefinitions_393:: "力量之躯"
ItemDataBase_ItemDefinitions_394:: "恶魔背心"
ItemDataBase_ItemDefinitions_395:: "什么使我成为一个好的恶魔？如果我是一个坏恶魔，我不会坐在这里和你讨论它，现在我会吗？！让我们行动起来！你们谁也活不了！一根交叉的电线，一把任性的氯酸钾，一次错误的抽搐，还有KA-BLOOIE！我有一双男子气概的眼睛。我是一只黑色的苏格兰剑水蚤。他们在伟大的罗切特尼斯岛上养了比我这样的海怪还多的海怪。所以！你们这些好花花公子，如此骄傲，如此自信，昂首阔步，目不转睛……来抓我，我说！我会带着一股旧硫磺味等你！我是一个有着不幸血腥结局的格林寓言！哦，他们必须把你粘在一起…见鬼！"
ItemDataBase_ItemDefinitions_396:: "斗士手套"
ItemDataBase_ItemDefinitions_397:: "指甲手套"
ItemDataBase_ItemDefinitions_398:: "喜欢具有穿透力的魔力。它的目的是什么？更加用力地打击。"
ItemDataBase_ItemDefinitions_399:: "手持火炮"
ItemDataBase_ItemDefinitions_400:: "库尔达斯的围巾"
ItemDataBase_ItemDefinitions_401:: "力量来自于意志的力量"
ItemDataBase_ItemDefinitions_402:: "剑魔围巾"
ItemDataBase_ItemDefinitions_403:: "农民围巾"
ItemDataBase_ItemDefinitions_404:: "炸弹人吊坠"
ItemDataBase_ItemDefinitions_405:: "爆发触感"
ItemDataBase_ItemDefinitions_406:: "喜欢爆炸盔甲的力量。它的目的是什么？成为真正的爆炸大师"
ItemDataBase_ItemDefinitions_407:: "力量来自于意志的力量，意志越强，爆发力越强"
ItemDataBase_ItemDefinitions_408:: "挥发性护腕"
ItemDataBase_ItemDefinitions_409:: "挥发性头盔"
ItemDataBase_ItemDefinitions_410:: "填充火药的袜子"
ItemDataBase_ItemDefinitions_411:: "红色短裙"
ItemDataBase_ItemDefinitions_412:: "火药箱"
ItemDataBase_ItemDefinitions_413:: "圣战背心"
ItemDataBase_ItemDefinitions_414:: "财富之环"
ItemDataBase_ItemDefinitions_415:: "魔力戒指"
ItemDataBase_ItemDefinitions_416:: "生命戒指"
ItemDataBase_ItemDefinitions_417:: "莫里茨的装备"
ItemDataBase_ItemDefinitions_418:: "伤害乐队"
ItemDataBase_ItemDefinitions_419:: "为战士准备的戒指"
ItemDataBase_ItemDefinitions_420:: "草帽"
ItemDataBase_ItemDefinitions_421:: "锈迹斑斑的标枪"
ItemDataBase_ItemDefinitions_422:: "星空长袍"
ItemDataBase_ItemDefinitions_423:: "怒气"
ItemDataBase_ItemDefinitions_424:: "大剑之怒的缩减版，为虚弱的巫师而制造的。"
ItemDataBase_ItemDefinitions_425:: "增加怒意的最大层数量{0}。"
ItemDataBase_ItemDefinitions_426:: "Yuki-Onna Strides"
ItemDataBase_ItemDefinitions_427:: "套装：\n两件--暴风雪将敌人拉向你\n三件--暴风雪半径，最大伤害，法术消耗加倍，但消耗速度较慢\n四件--暴风雪命中频率增加{0}"
ItemDataBase_ItemDefinitions_428:: "从雪妖身上抢来的靴子"
ItemDataBase_ItemDefinitions_429:: "增加暴风雪伤害{0}。"
ItemDataBase_ItemDefinitions_430:: "Yuki-Onna Greaves"
ItemDataBase_ItemDefinitions_431:: "Yuki-Onna 和服"
ItemDataBase_ItemDefinitions_432:: "Yuki-Onna's 头饰"
ItemDataBase_ItemDefinitions_433:: "套装：\n两件--暴风雪将敌人拉向你\n三件--暴风雪半径，最大伤害，法术消耗加倍，但消耗速度较慢\n四件--暴风雪打击频率增加{0}，伤害增加{1}"
ItemDataBase_ItemDefinitions_434:: "巨型喇嘛血袋"
ItemDataBase_ItemDefinitions_435:: "近身攻击导致敌人流血，将你<color=gold>{0}</color>的生命值作为伤害，持续{1}秒"
ItemDataBase_ItemDefinitions_436:: "套筒钻头"
ItemDataBase_ItemDefinitions_437:: "一个方便的一次性使用的工具"
ItemDataBase_ItemDefinitions_438:: "在这个充满原始部落的地方，钻头在这里做什么？"
ItemDataBase_ItemDefinitions_439:: "为一个物品增加一个插槽，除非该物品插槽已满。"
ItemDataBase_ItemDefinitions_440:: "月球漫步者"
ItemDataBase_ItemDefinitions_441:: "恰恰真的很光滑。"
ItemDataBase_ItemDefinitions_442:: "反向运动"
ItemDataBase_ItemDefinitions_443:: "兔耳发箍"
ItemDataBase_ItemDefinitions_444:: "聪明"
ItemDataBase_ItemDefinitions_445:: "兔耳朵发箍"
ItemDataBase_ItemDefinitions_446:: "满是孔洞的铁板"
ItemDataBase_ItemDefinitions_447:: "这个物品的完整性是值得怀疑的"
ItemDataBase_ItemDefinitions_448:: "小部落项链"
ItemDataBase_ItemDefinitions_449:: "增加怒意的最大层数 {0}。"
ItemDataBase_ItemDefinitions_450:: "酋长项链"
ItemDataBase_ItemDefinitions_451:: "增加怒意的最大层数 {0}"
ItemDataBase_ItemDefinitions_452:: "战神项链"
ItemDataBase_ItemDefinitions_453:: "增加怒意的最大层数 {0}"
ItemDataBase_ItemDefinitions_454:: "旅行腰带"
ItemDataBase_ItemDefinitions_455:: "瞬移的距离增加<color=gold>{0}</color>英尺"
ItemDataBase_ItemDefinitions_456:: "被摧毁的虚空碎片"
ItemDataBase_ItemDefinitions_457:: "只剩下以前的一小部分力量"
ItemDataBase_ItemDefinitions_458:: "每当你用近战或远程攻击击中某物时，会使一项魔法的冷却时间减少{0}秒。"
ItemDataBase_ItemDefinitions_459:: "饥荒之锤"
ItemDataBase_ItemDefinitions_460:: "获得削弱敌人的几率，使他们从所有的攻击中受到更多的伤害，增加{0}。"
ItemDataBase_ItemDefinitions_461:: "诅咒之锤"
ItemDataBase_ItemDefinitions_462:: "全能武器"
ItemDataBase_ItemDefinitions_463:: "获得削弱敌人的几率，使他们从所有的攻击中受到更多的伤害，增加{0}。"
ItemDataBase_ItemDefinitions_464:: "粉碎者"
ItemDataBase_ItemDefinitions_465:: "粉碎伤害增加三倍"
ItemDataBase_ItemDefinitions_466:: "吸血鬼乐队"
ItemDataBase_ItemDefinitions_467:: "远程和近战命中时获得{0}体力，暴击时获得双倍的体力。"
ItemDataBase_ItemDefinitions_468:: "吸血鬼戒指"
ItemDataBase_ItemDefinitions_469:: "远程和近战命中时获得{0}体力，暴击时获得双倍的体力。"
ItemDataBase_ItemDefinitions_470:: "捣蛋鬼围巾"
ItemDataBase_ItemDefinitions_471:: "魔法箭射出{0}支额外的箭。"
ItemDataBase_ItemDefinitions_472:: "魔法师的领带"
ItemDataBase_ItemDefinitions_473:: "魔法箭射出{0}支额外的箭。"
ItemDataBase_ItemDefinitions_474:: "打折的山寨版魔法箭筒"
ItemDataBase_ItemDefinitions_475:: "在发射弹丸时，增加{0}的几率不消耗弹药。"
ItemDataBase_ItemDefinitions_476:: "魔法箭筒"
ItemDataBase_ItemDefinitions_477:: "在发射弹丸时，增加{0}的几率不消耗弹药。"
ItemDataBase_ItemDefinitions_478:: "改进的魔法箭筒"
ItemDataBase_ItemDefinitions_479:: "在发射弹丸时，增加{0}的几率不消耗弹药。"
ItemDataBase_ItemDefinitions_480:: "工厂魔法箭筒"
ItemDataBase_ItemDefinitions_481:: "在发射弹丸时，增加{0}的几率不消耗弹药。."
ItemDataBase_ItemDefinitions_482:: "酶制剂 STR/34"
ItemDataBase_ItemDefinitions_483:: "一种会导致齿轮发生惊人变化的物质"
ItemDataBase_ItemDefinitions_484:: "将物品上的活力、敏捷或智力属性改为<color=red>力量</color>，或将远程或法术属性改为<color=red>近战伤害</color>。"
ItemDataBase_ItemDefinitions_485:: "酶制剂 INT/33"
ItemDataBase_ItemDefinitions_486:: "将物品上的活力、敏捷或力量属性改为<color=red>智力</color>，或将远程或近战属性改为<color=red>法术伤害</color>。"
ItemDataBase_ItemDefinitions_487:: "酶制剂 AGI/39"
ItemDataBase_ItemDefinitions_488:: "将物品上的活力、智力或力量属性改为<color=red>敏捷</color>，或将近战或法术伤属性改为<color=red>远程伤害</color>。"
ItemDataBase_ItemDefinitions_489:: "酶制剂 VIT/449"
ItemDataBase_ItemDefinitions_490:: "将物品上的敏捷、智力或力量属性改为<color=red>活力</color>。"
ItemDataBase_ItemDefinitions_491:: "胃酸"
ItemDataBase_ItemDefinitions_492:: "移除物品中所有负状态值效果"
ItemDataBase_ItemDefinitions_493:: "精华胃酸"
ItemDataBase_ItemDefinitions_494:: "将物品上的负面状态值变为正面值"
ItemDataBase_ItemDefinitions_495:: "深红溶液"
ItemDataBase_ItemDefinitions_496:: "将任何稀有度的物品升级为相同类型但具有<color=red>传奇</color>稀有度的物品。"
ItemDataBase_ItemDefinitions_497:: "盔甲硬化混合物"
ItemDataBase_ItemDefinitions_498:: "如果装备还没有装甲属性，则为其添加装甲属性"
ItemDataBase_ItemDefinitions_499:: "Up版盔甲硬化混合物"
ItemDataBase_ItemDefinitions_500:: "如果一件装备还没有减伤属性，则为其添加减伤属性。"
ItemDataBase_ItemDefinitions_501:: "混沌之水"
ItemDataBase_ItemDefinitions_502:: "重塑一个稀有度不高于橙色物品的所有属性。"
ItemDataBase_ItemDefinitions_503:: "Up版混沌之水"
ItemDataBase_ItemDefinitions_504:: "重新设置任何稀有度物品的所有属性"
ItemDataBase_ItemDefinitions_505:: "枪刃"
ItemDataBase_ItemDefinitions_506:: "增加手枪伤害 <color=red>{0}</color>"
ItemDataBase_ItemDefinitions_507:: "神枪手的斧子"
ItemDataBase_ItemDefinitions_508:: "增加手枪爆头几率<color=gold>{0}</color>，增加手枪伤害<color=gold>{1}</color>。"
ItemDataBase_ItemDefinitions_509:: "刀片盾牌"
ItemDataBase_ItemDefinitions_510:: "这么大可以作为盾牌使用"
ItemDataBase_ItemDefinitions_511:: "正常人无法举起这种武器。"
ItemDataBase_ItemDefinitions_512:: "敲击头颅的钝刀"
ItemDataBase_ItemDefinitions_513:: "敌人身上的Bash伤害debuff增加 {0}"
ItemDataBase_ItemDefinitions_514:: "狂人遗产"
ItemDataBase_ItemDefinitions_515:: "每层的怒意伤害增加 {0}"
ItemDataBase_ItemDefinitions_516:: "小圆盾"
ItemDataBase_ItemDefinitions_517:: "火焰面具"
ItemDataBase_ItemDefinitions_518:: "被点燃的敌人燃烧时间延长{0}。"
ItemDataBase_ItemDefinitions_519:: "琥珀面具"
ItemDataBase_ItemDefinitions_520:: "被点燃的敌人燃烧的时间会延长{0}，并且燃烧速度快三倍。"
ItemDataBase_ItemDefinitions_521:: "火焰护身符"
ItemDataBase_ItemDefinitions_522:: "火束的施放需要消耗{0}的额外能量，其伤害比例增加{1}。"
ItemDataBase_ItemDefinitions_523:: "古代卷轴"
ItemDataBase_ItemDefinitions_524:: "关于撕裂时空的指南"
ItemDataBase_ItemDefinitions_525:: "瞬移在结束处产生一个爆炸，爆炸的伤害由速度决定，半径由瞬移的距离决定。"
ItemDataBase_ItemDefinitions_526:: "第300支长矛"
ItemDataBase_ItemDefinitions_527:: "石头护肩"
ItemDataBase_ItemDefinitions_528:: "所有伤害增加 {0}"
ItemDataBase_ItemDefinitions_529:: "铁制护肩"
ItemDataBase_ItemDefinitions_530:: "所有伤害增加 {0}"
ItemDataBase_ItemDefinitions_531:: "钢制护肩"
ItemDataBase_ItemDefinitions_532:: "所有伤害增加 {0}"
ItemDataBase_ItemDefinitions_533:: "有战斗伤痕的护肩"
ItemDataBase_ItemDefinitions_534:: "所有伤害增加 {0}"
ItemDataBase_ItemDefinitions_535:: "神秘护肩"
ItemDataBase_ItemDefinitions_536:: "所有伤害增加 {0}"
ItemDataBase_ItemDefinitions_537:: "石盾"
ItemDataBase_ItemDefinitions_538:: "铁盾"
ItemDataBase_ItemDefinitions_539:: "钢塔盾牌"
ItemDataBase_ItemDefinitions_540:: "守护者"
ItemDataBase_ItemDefinitions_541:: "神秘之盾"
ItemDataBase_ItemDefinitions_542:: "轻型长靴"
ItemDataBase_ItemDefinitions_543:: "铁靴"
ItemDataBase_ItemDefinitions_544:: "钢靴"
ItemDataBase_ItemDefinitions_545:: "Threads"
ItemDataBase_ItemDefinitions_546:: "神秘的靴子"
ItemDataBase_ItemDefinitions_547:: "护膝"
ItemDataBase_ItemDefinitions_548:: "钢铁手套"
ItemDataBase_ItemDefinitions_549:: "钛制手套"
ItemDataBase_ItemDefinitions_550:: "神秘手套"
ItemDataBase_ItemDefinitions_551:: "皮革长裤"
ItemDataBase_ItemDefinitions_552:: "铁制长裤"
ItemDataBase_ItemDefinitions_553:: "钢制长裤t"
ItemDataBase_ItemDefinitions_554:: "黑色钢质护腿"
ItemDataBase_ItemDefinitions_555:: "神秘护腿"
ItemDataBase_ItemDefinitions_556:: "皮革背心"
ItemDataBase_ItemDefinitions_557:: "铁质胸甲"
ItemDataBase_ItemDefinitions_558:: "钢制胸甲"
ItemDataBase_ItemDefinitions_559:: "银色盔甲"
ItemDataBase_ItemDefinitions_560:: "神秘的胸甲"
ItemDataBase_ItemDefinitions_561:: "布带"
ItemDataBase_ItemDefinitions_562:: "铁制护腕"
ItemDataBase_ItemDefinitions_563:: "钢制护腕"
ItemDataBase_ItemDefinitions_564:: "男爵护腕"
ItemDataBase_ItemDefinitions_565:: "神秘护腕"
ItemDataBase_ItemDefinitions_566:: "铁制头盔"
ItemDataBase_ItemDefinitions_567:: "钢制头盔"
ItemDataBase_ItemDefinitions_568:: "装甲风帽"
ItemDataBase_ItemDefinitions_569:: "神秘头盔"
ItemDataBase_ItemDefinitions_570:: "Yorium's 凝视"
ItemDataBase_ItemDefinitions_571:: "单件--近身武器射程增加{0}，攻击耐力消耗减半。"
ItemDataBase_ItemDefinitions_572:: "套装：\n两件-狂暴结束时不会耗尽体力\n三件-狂暴持续时间增加{0}秒\n四件-狂暴的每一秒都会增加{1}的伤害。\n五件-狂暴的前{2}秒，攻击速度每秒增加{3}，并持续到法术持续时间结束。"
ItemDataBase_ItemDefinitions_573:: "Yorium's 无情"
ItemDataBase_ItemDefinitions_574:: "Yorium's 负担"
ItemDataBase_ItemDefinitions_575:: "Yorium's 决定"
ItemDataBase_ItemDefinitions_576:: "原子扩容"
ItemDataBase_ItemDefinitions_577:: "Yorium's 突击"
ItemDataBase_ItemDefinitions_578:: "不朽的承诺"
ItemDataBase_ItemDefinitions_579:: "在{0}分钟的冷却时间内抵御致命的伤害"
ItemDataBase_ItemDefinitions_581:: "冰封结界的伤害比例增加{0}，减少持续时间增加{1}秒。"
ItemDataBase_ItemDefinitions_582:: "如果装备在武器上，远程伤害增加"
ItemDataBase_ItemDefinitions_583:: "如果装备在靴子上，则移动速度增加"
ItemDataBase_ItemDefinitions_584:: "如果装备在头盔上，则增加暴击几率"
ItemDataBase_ItemDefinitions_585:: "如果装备在附件上，则增加远程护甲穿透"
ItemDataBase_ItemDefinitions_586:: "如果装备在其他插槽中，则增加敏捷性"
ItemDataBase_ItemDefinitions_587:: "如果装备在武器上，增加近战伤害"
ItemDataBase_ItemDefinitions_588:: "如果装备在靴子上，则减少受到的伤害"
ItemDataBase_ItemDefinitions_589:: "如果装备在头盔上，可以增加攻击速度。"
ItemDataBase_ItemDefinitions_590:: "如果装备在饰品上，会增加近战护甲穿透。"
ItemDataBase_ItemDefinitions_591:: "如果装备在其他插槽中，则增加力量"
ItemDataBase_ItemDefinitions_592:: "如果装备在武器上，魔法伤害增加"
ItemDataBase_ItemDefinitions_593:: "如果装备在靴子上，则减少法术消耗"
ItemDataBase_ItemDefinitions_594:: "如果装备在头盔上，减少魔法冷却时间"
ItemDataBase_ItemDefinitions_595:: "如果装备在饰品上，会增加命中时的能量。"
ItemDataBase_ItemDefinitions_596:: "如果装备在其他插槽中，增加智力 "
ItemDataBase_ItemDefinitions_597:: "如果装备在武器上，增加所有治疗效果"
ItemDataBase_ItemDefinitions_598:: "如果装备在靴子上，增加魔法寻物"
ItemDataBase_ItemDefinitions_599:: "如果装备在头盔上，增加获得的经验"
ItemDataBase_ItemDefinitions_600:: "如果装备在饰品上，每秒回复生命值 "
ItemDataBase_ItemDefinitions_601:: "如果装备在其他插槽中，则提高生命值 "
ItemDataBase_ItemDefinitions_602:: "如果装备在武器上，暴击伤害增加"
ItemDataBase_ItemDefinitions_603:: "如果装备在靴子上，增加魔法抗性"
ItemDataBase_ItemDefinitions_604:: "如果装备在头盔上，可以增加生命值 "
ItemDataBase_ItemDefinitions_605:: "如果装备在饰品上，则增加荆棘伤害。"
ItemDataBase_ItemDefinitions_606:: "如果装备在其他插槽中，则增加护甲"
ItemDataBase_ItemDefinitions_607:: "火束造成的伤害增加"
ItemDataBase_ItemDefinitions_608:: "\n战争呐喊可以获得伤害减免。"
ItemDataBase_ItemDefinitions_609:: "魔鬼舞者"
ItemDataBase_ItemDefinitions_610:: "消耗怒意层数时，每消耗一层，在10秒内获得5%的暴击几率。每一层怒意激活后获得5%的攻击速度。"
ItemDataBase_ItemDefinitions_611:: "古人的召唤"
ItemDataBase_ItemDefinitions_612:: "狂暴会使所有的伤害增加 <color=gold>{0}</color>"
ItemDataBase_ItemDefinitions_613:: "狂暴者之怒"
ItemDataBase_ItemDefinitions_614:: "维京护身符"
ItemDataBase_ItemDefinitions_615:: "在狂暴状态下增加攻击和移动速度。 <color=gold>{0}</color>"
ItemDataBase_ItemDefinitions_616:: "Skallagrim 学者"
ItemDataBase_ItemDefinitions_617:: "圣域守护者的护腕"
ItemDataBase_ItemDefinitions_618:: "在圣域内的所有队友冷却速度加快<color=gold>{0}</color>，魔法消耗减少<color=gold>{1}</color>。"
MainMenu_Hints_1:: "也可以通过打猎获得经验"
MainMenu_Hints_2:: "经验在玩家之间共享"
MainMenu_Hints_3:: "主要通过击杀敌人获得经验"
MainMenu_Hints_4:: "在魔法和突变上花费点数，长按以升级技能"
MainMenu_Hints_5:: "可以通过打破野人路标/雕塑获得你的第一件装备"
MainMenu_Hints_6:: "装备盔甲、武器和饰品以变得更强。按后面的键位打开库存 "
MainMenu_Hints_7:: "解锁强大的能力，并通过突变点升级它们"
MainMenu_Hints_8:: "你需要能量来施展魔法。吃、喝或坐，可以恢复能量"
MainMenu_Hints_9:: "火束技能开启后会隐藏手上的武器（占位符效果伙计）。此时按住鼠标左键可快速向敌人发射火球。每次攻击都会消耗能量"
MainMenu_Hints_10:: "如果你在坐下的时候使用火束魔法，你就可以成为一个炮台。"
MainMenu_Hints_11:: "暴风雪技能开启后会隐藏手上的武器（占位符效果伙计）。此时按住鼠标左键，会在你周围逐渐生成暴风雪"
MainMenu_Hints_12:: "尽快获得6种不同的魔法能力"
MainMenu_Hints_13:: "你现在可以免费解锁一些特权！"
MainMenu_Hints_14:: "从你的主手装备槽中抽出武器按 "
MainMenu_Hints_15:: "只要你认为敌人变得容易对付，就可以增加难度"
MainMenu_Hints_16:: "拥有盔甲的敌人是战士和弓箭手的克星。增加你的穿甲属性或使用烈火融化护甲"
MainMenu_Hints_17:: "万能的人输给了专一的人。将你的突变点集中在一个单一的方向上，以最大限度地提高其有效性。"
MainMenu_Hints_18:: "你可以标记位置、物品和敌人，以便更好地与其他玩家交流。按住{0}来放置一个标记"
MainMenu_Hints_19:: "你可以通过消耗一颗纯洁之心来重置所有的突变点。"
MainMenu_Hints_20:: "不要忘记防御。增加增加抵抗眩晕、摆脱危险的能力，或拥有足够的韧性来吸收受到的伤害"
MainMenu_Hints_21:: "瞄准头部，使远程伤害最大化"
MainMenu_Hints_22:: "子弹对突变体比箭更有效"
MainMenu_Hints_23:: "你可以将射箭和魔法结合起来，造成巨大的爆发伤害"
MainMenu_Hints_24:: "招架攻击者使近战伤害最大化"
MainMenu_Hints_25:: "你可以将近战和魔法结合起来，造成短暂的巨大伤害"
MainMenu_Hints_26:: "招架不算被击中。你可以招架破坏者和有毒精英"
MainMenu_Hints_27:: "点燃敌人会让他们停止攻击"
MainMenu_Hints_28:: "你可以在魔法选择菜单中按住shift键并单击以更改键绑定。"
MainMenu_Hints_29:: "防御面板中的一些能力可以免疫一些精英的控制 - 黑洞无法将你吸进去"
MainMenu_Hints_30:: "防御面板中的一些能力可以免疫一些精英的控制 - 暴风雪不再使你减速"
MainMenu_Hints_31:: "有一些物品可以改变某些魔法的运作方式"
MainMenu_Hints_32:: "一个玩家的爆炸伤害属性影响所有玩家造成的爆炸"
MainMenu_Hints_33:: "有强大、隐藏的突变能力有待发现"
EnemyProgression_Setup_1:: "阿姆西"
EnemyProgression_Setup_2:: "老阿姆西"
EnemyProgression_Setup_3:: "弗吉尼亚"
EnemyProgression_Setup_4:: "老弗吉尼亚"
EnemyProgression_Setup_5:: "胖子"
EnemyProgression_Setup_6:: "鬼婴"
EnemyProgression_Setup_7:: "食人族"
EnemyProgression_Setup_8:: "食人族首领"
EnemyProgression_Setup_9:: "食人族女性"
EnemyProgression_Setup_10:: "野蛮食人族"
EnemyProgression_Setup_11:: "老食人族"
EnemyProgression_Setup_12:: "古老的野蛮人食人族"
EnemyProgression_Setup_13:: "食人野人"
EnemyProgression_Setup_14:: "野蛮的食人族"
EnemyProgression_Setup_15:: "部落食人族"
EnemyProgression_Setup_16:: "部落食人族领袖"
EnemyProgression_Setup_17:: "部落食人族女性"
EnemyProgression_Setup_18:: "部落食人族喷火器"
ModdedPlayer_1:: "TRIPLE KILL   +10% exp"
ModdedPlayer_2:: "QUADRA KILL   +25% exp"
ModdedPlayer_3:: "PENTA KILL   +50% exp"
ModdedPlayer_4:: "MASSACRE   +75% exp"
ModdedPlayer_5:: "BIG MASSACRE   +130% exp"
ModdedPlayer_6:: "BIGGER MASSACRE   +200% exp"
ModdedPlayer_7:: "HUGE MASSACRE   +400% exp"
ModdedPlayer_8:: "BLOODY MASSACRE   +750% exp"
ModdedPlayer_9:: "WICKED SICK   +1,500% exp"
ModdedPlayer_10:: "UNSTOPPABLE   +2,150% exp"
ModdedPlayer_11:: "GODLIKE MASSACRE   +3,400% exp"
ModdedPlayer_12:: "BEYOND GODLIKE   +4,900% exp"
ModdedPlayer_13:: "SLAUGHTER   +9,900% exp"
ModdedPlayer_14:: "BLOODBATH   +24,900% exp"
ModdedPlayer_15:: "R A M P A G E    +100,000% exp"
